Nome: ITAPETINGA
Codigo Estacao: A446
Latitude: -15.24472221
Longitude: -40.22944443
Altitude: 271.48
Situacao: Pane
Data Inicial: 2009-06-25
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2009-06-25;null;null;null;null;null;null;null;47;8,9;null;
2009-06-26;null;986,7;18,2;29;21,7;17;80,4;50;5,2;1,4;
2009-06-27;0;988,4;19;28;22,6;18,9;81,6;52;7,6;1,7;
2009-06-28;0;987,3;18,8;27;21,9;19,2;83,5;55;5,9;1,4;
2009-06-29;0;985,3;18,4;28,5;22,3;18,6;80,8;48;5,5;1,3;
2009-06-30;0;985,3;18;28,1;21,9;17,1;80,8;49;5,6;1,5;
2009-07-01;0;984,7;17,7;29;21,9;17;79,7;45;4,9;1,2;
2009-07-02;0;985;17,2;29;22;15,5;77,1;43;6;1,5;
2009-07-03;0;985,4;17,4;29,2;22,7;17,1;75,6;38;7,5;1,9;
2009-07-04;0;985,8;18,1;29,2;22,2;17,2;79,8;44;8,9;2,1;
2009-07-05;2;987,4;17,2;28,7;21,8;16,3;78,1;42;8,4;2,1;
2009-07-06;0;988,4;17,7;27,3;20,8;16,1;83,9;53;8,1;1,5;
2009-07-07;,2;988,3;18;24,2;19,7;17,7;90,3;63;8,2;1,8;
2009-07-08;3,4;987,8;17,5;27;21,2;18,4;80,6;52;7;1,4;
2009-07-09;1,8;987,5;18,4;27;21,3;18,5;84,6;58;9,5;1,5;
2009-07-10;,4;986,5;18,3;27;19,9;16;91;61;7,9;1,2;
2009-07-11;1;984,8;18,8;29,4;22,6;18,9;81,6;46;8,1;1,7;
2009-07-12;0;984,3;18,7;29,9;22,8;17,3;79,9;51;8,4;2,1;
2009-07-13;0;986,5;18,7;29,9;23,1;18,3;79;44;7,3;1,8;
2009-07-14;2,8;988,3;19,8;27,9;22,4;20,1;86,6;57;8,6;1,9;
2009-07-15;,8;987,8;18,4;28,6;22,5;19;80,4;43;9,9;2;
2009-07-16;,4;989,2;18,4;26,1;21,2;18;84,9;60;8,8;2,2;
2009-07-17;1,4;989,4;19,1;25,1;20,2;17,4;93,6;73;8,3;1,5;
2009-07-18;1;987,9;17,8;27,8;21;16,6;83,8;48;6,9;1,2;
2009-07-19;0;984,5;17,3;28,3;20,5;15,3;84;49;5,4;1,5;
2009-07-20;0;984;18,2;29,7;23;17,3;76,9;44;6,4;1,8;
2009-07-21;0;985,6;18,9;28,7;22,8;20;80,4;49;6,7;1,6;
2009-07-22;,6;985,8;18,9;28,7;22,6;19,6;81,1;52;6,2;1,4;
2009-07-23;0;984,2;18;30,5;22,5;17,4;79,3;39;7,5;2;
2009-07-24;0;984,4;18,2;30,3;22,6;16,9;79,3;43;8;1,8;
2009-07-25;0;986,9;18,4;28,6;21,6;18,2;83,5;47;9,9;1,9;
